schname,md_earn,num_search,locality,total_earning_sd,lg_md
ALABAMA A & M UNIVERSITY,31400.0,471.0,city_mid,-0.8861798141025858,10.354595018522993
UNIVERSITY OF ALABAMA AT BIRMINGHAM,40300.0,624.0,city_mid,-0.15164465957759082,10.604131561522696
AMRIDGE UNIVERSITY,38100.0,314.0,city_mid,-0.33321514721298284,10.547995807489514
UNIVERSITY OF ALABAMA IN HUNTSVILLE,46600.0,780.0,city_mid,0.3683071913783045,10.74937727911096
ALABAMA STATE UNIVERSITY,27800.0,785.0,city_mid,-1.1832951575059545,10.2328272702548
THE UNIVERSITY OF ALABAMA,42400.0,942.0,city_small,0.02167262407437427,10.65492722584759
ATHENS STATE UNIVERSITY,39700.0,471.0,town_large,-0.20116388347815228,10.589131655274922
AUBURN UNIVERSITY AT MONTGOMERY,34800.0,471.0,city_mid,-0.6055708786660708,10.457401400981889
AUBURN UNIVERSITY,45400.0,628.0,city_small,0.26926874357718156,10.723289410218579
BIRMINGHAM SOUTHERN COLLEGE,41900.0,471.0,city_mid,-0.01959339584276028,10.643064971973882
CONCORDIA COLLEGE ALABAMA,21300.0,471.0,town_mid,-1.7197534164287036,9.966509298952284
FAULKNER UNIVERSITY,37600.0,312.0,city_mid,-0.3744811671301174,10.534785924769006
HUNTINGDON COLLEGE,37100.0,468.0,city_mid,-0.41574718704725194,10.521399202410167
HERITAGE CHRISTIAN UNIVERSITY,32700.0,312.0,city_small,-0.7788881623180359,10.39516093745751
JACKSONVILLE STATE UNIVERSITY,35100.0,624.0,city_small,-0.5808112667157901,10.465984899076615
JUDSON COLLEGE,30700.0,156.0,Rural_small,-0.9439522419865741,10.332050506334692
UNIVERSITY OF WEST ALABAMA,33800.0,780.0,Rural_small,-0.68810291850034,10.428245666832275
MILES COLLEGE,27200.0,312.0,sub_large,-1.232814381406516,10.211009016314167
UNIVERSITY OF MOBILE,37800.0,780.0,Rural_large,-0.3579747591632636,10.540090836284206
UNIVERSITY OF MONTEVALLO,35100.0,624.0,sub_large,-0.5808112667157901,10.465984899076615
UNIVERSITY OF NORTH ALABAMA,36300.0,468.0,city_small,-0.4817728189146672,10.499600568082863
OAKWOOD UNIVERSITY,33700.0,312.0,city_mid,-0.6963561224837669,10.425282789490705
SAMFORD UNIVERSITY,45800.0,468.0,sub_large,0.3022815595108892,10.732061203925053
UNIVERSITY OF SOUTH ALABAMA,38300.0,780.0,city_mid,-0.316708739246129,10.55323128448846
