schname,md_earn,num_search,locality,total_earning_sd,lg_md,earning_code
UNIVERSITY OF ALABAMA IN HUNTSVILLE,46600.0,780.0,city_mid,0.3683071913783045,10.74937727911096,1
THE UNIVERSITY OF ALABAMA,42400.0,942.0,city_small,0.02167262407437427,10.65492722584759,1
AUBURN UNIVERSITY,45400.0,628.0,city_small,0.26926874357718156,10.723289410218579,1
BIRMINGHAM SOUTHERN COLLEGE,41900.0,471.0,city_mid,-0.01959339584276028,10.643064971973882,1
SAMFORD UNIVERSITY,45800.0,468.0,sub_large,0.3022815595108892,10.732061203925053,1
SPRING HILL COLLEGE,43800.0,314.0,city_mid,0.137217479842351,10.687411927154141,1
UNIVERSITY OF ALASKA ANCHORAGE,42000.0,624.0,city_large,-0.011340191859333371,10.645448706505872,1
ALASKA PACIFIC UNIVERSITY,47400.0,314.0,city_large,0.43433282324571976,10.766398604507042,1
UNIVERSITY OF ARIZONA,44400.0,936.0,city_large,0.18673670374291246,10.70101727068921,1
GRAND CANYON UNIVERSITY,45200.0,624.0,city_large,0.25276233561032774,10.718874489469398,1
WESTERN INTERNATIONAL UNIVERSITY,52600.0,624.0,city_mid,0.8634994303839191,10.87049040995193,1
UNIVERSITY OF ARKANSAS FOR MEDICAL SCIENCES,62400.0,624.0,city_mid,1.672313420759756,11.041336579870135,1
UNIVERSITY OF ARKANSAS,43600.0,936.0,city_small,0.12071107187549718,10.682835364853922,1
HENDRIX COLLEGE,40500.0,468.0,city_small,-0.135138251610737,10.609081944147828,1
JOHN BROWN UNIVERSITY,46200.0,468.0,town_mid,0.33529437544459684,10.740756721857226,1
ART CENTER COLLEGE OF DESIGN,51700.0,314.0,city_mid,0.7892205945330769,10.853232402669228,1
AZUSA PACIFIC UNIVERSITY,49000.0,628.0,sub_large,0.5663840869805503,10.799595985047786,1
BIOLA UNIVERSITY,40700.0,471.0,sub_large,-0.1186318436438832,10.614007941153417,1
CALIFORNIA BAPTIST UNIVERSITY,41800.0,471.0,city_large,-0.02784659982618719,10.640675541671662,1
CALIFORNIA INSTITUTE OF TECHNOLOGY,74000.0,628.0,city_mid,2.6296850828372778,11.211833885608513,1
CALIFORNIA LUTHERAN UNIVERSITY,52900.0,471.0,city_mid,0.8882590423341997,10.876177521259402,1
ALLIANT INTERNATIONAL UNIVERSITY,51800.0,471.0,city_large,0.7974737985165038,10.85516473308054,1
CALIFORNIA MARITIME ACADEMY,81100.0,471.0,city_mid,3.215662565660588,11.303450570483712,1
CHAPMAN UNIVERSITY,51800.0,628.0,city_mid,0.7974737985165038,10.85516473308054,1
CLAREMONT MCKENNA COLLEGE,63600.0,314.0,sub_large,1.7713518685608791,11.060384472475045,1
COGSWELL COLLEGE,48500.0,314.0,city_mid,0.5251180670634158,10.789339695269716,1
DOMINICAN UNIVERSITY OF CALIFORNIA,51400.0,780.0,city_small,0.7644609825827962,10.847412906506923,1
HARVEY MUDD COLLEGE,78600.0,624.0,sub_large,3.0093324660749157,11.272139700982676,1
HOLY NAMES UNIVERSITY,50100.0,468.0,city_large,0.6571693307982464,10.821796246953596,1
UNIVERSITY OF LA VERNE,52700.0,624.0,sub_large,0.871752634367346,10.872389709681492,1
LA SIERRA UNIVERSITY,41300.0,468.0,city_large,-0.06911261974332174,10.628641991731053,1
LOMA LINDA UNIVERSITY,72800.0,624.0,sub_large,2.5306466350361547,11.195484970354173,1
THE MASTER'S COLLEGE AND SEMINARY,40900.0,157.0,sub_large,-0.10212543567702938,10.61890979160975,1
LOYOLA MARYMOUNT UNIVERSITY,55600.0,624.0,city_large,1.1110955498867263,10.925956465688445,1
MENLO COLLEGE,50600.0,468.0,sub_large,0.6984353507153809,10.831726617926124,1
MONTEREY INSTITUTE OF INTERNATIONAL STUDIES,53400.0,780.0,sub_mid,0.9295250622513344,10.885584751364705,1
MOUNT ST MARY'S COLLEGE,50200.0,312.0,city_large,0.6654225347816732,10.823790225800138,1
THE NATIONAL HISPANIC UNIVERSITY,42900.0,471.0,city_large,0.06293864399150881,10.666650414667744,1
NATIONAL UNIVERSITY,54800.0,624.0,city_large,1.045069918019311,10.911463720944793,1
NOTRE DAME DE NAMUR UNIVERSITY,51300.0,624.0,sub_large,0.7562077785993693,10.84546552414626,1
OCCIDENTAL COLLEGE,50100.0,624.0,city_large,0.6571693307982464,10.821796246953596,1
OTIS COLLEGE OF ART AND DESIGN,42000.0,780.0,city_large,-0.011340191859333371,10.645448706505872,1
PACIFIC UNION COLLEGE,48600.0,624.0,Rural_large,0.5333712710468427,10.791399385808587,1
UNIVERSITY OF THE PACIFIC,66400.0,780.0,city_large,2.0024415800968325,11.103467395592086,1
PEPPERDINE UNIVERSITY,61400.0,624.0,sub_large,1.589781380925487,11.02518140064756,1
PITZER COLLEGE,45300.0,468.0,sub_large,0.2610155395937546,10.721084386282662,1
POINT LOMA NAZARENE UNIVERSITY,50300.0,624.0,city_large,0.6736757387651001,10.825780236605917,1
POMONA COLLEGE,52600.0,468.0,sub_large,0.8634994303839191,10.87049040995193,1
UNIVERSITY OF REDLANDS,53800.0,780.0,city_small,0.962537878185042,10.893047333337728,1
SAMUEL MERRITT UNIVERSITY,111500.0,468.0,city_large,5.724636576622368,11.621788838451959,1
SAN DIEGO STATE UNIVERSITY,48700.0,780.0,city_large,0.5416244750302696,10.793454842740767,1
UNIVERSITY OF SAN DIEGO,56300.0,936.0,city_large,1.1688679777707147,10.938467575959383,1
SAN FRANCISCO STATE UNIVERSITY,46900.0,624.0,city_large,0.3930668033285852,10.75579427616868,1
UNIVERSITY OF SAN FRANCISCO,61000.0,936.0,city_large,1.5567685649917795,11.0186455364637,1
SAN JOSE STATE UNIVERSITY,54600.0,780.0,city_large,1.0285635100524573,10.907807476583594,1
SANTA CLARA UNIVERSITY,67700.0,624.0,city_mid,2.1097332318813824,11.12285622984002,1
SCRIPPS COLLEGE,47200.0,468.0,sub_large,0.41782641527886594,10.762170357789895,1
SAINT MARY'S COLLEGE OF CALIFORNIA,59000.0,624.0,Rural_large,1.3917044853232412,10.985309671896763,1
SONOMA STATE UNIVERSITY,45600.0,628.0,sub_large,0.2857751515440354,10.727684925086583,1
UNIVERSITY OF SOUTHERN CALIFORNIA,66100.0,624.0,city_large,1.9776819681465518,11.098939154318382,1
WALDEN UNIVERSITY,54900.0,624.0,city_large,1.053323122002738,10.91328684226798,1
WESTMONT COLLEGE,48300.0,468.0,sub_mid,0.5086116590965619,10.785207543360087,1
WHITTIER COLLEGE,45100.0,468.0,sub_large,0.24450913162690083,10.716659698193956,1
